station,index,y,x,station_color
BL板橋,96,25.01418066,121.4637993,blue
七張,53,24.97520566,121.5429123,green
三民高中,88,25.08557915,121.4735413,orange
三和國中,86,25.07678141,121.4864263,orange
三重,78,25.05569664,121.4842194,orange
三重國小,85,25.07072554,121.4967767,orange
土城,92,24.97314811,121.4442669,blue
士林,37,25.09347741,121.5262515,red
大安,8,25.03294276,121.5435603,red-brown
大安森林公園,27,25.03352688,121.5353379,red
大坪林,55,24.98289842,121.5413479,green-yellow
大直,13,25.07989294,121.547177,brown
大湖公園,19,25.08379261,121.6021804,brown
大橋頭站,75,25.06308323,121.5135879,orange
小南門,61,25.03561468,121.5107958,green
小碧潭,54,24.97171083,121.5306638,green
中山,32,25.05271604,121.5203702,green-red
中山國小,74,25.06267042,121.5264542,orange
中山國中,11,25.06076584,121.5441186,brown
中正紀念堂,29,25.03265594,121.5182967,green-red
丹鳳,83,25.02890425,121.4225478,orange
內湖,18,25.08353696,121.5942227,brown
公館,58,25.0149442,121.5342389,green
六張犁,6,25.02378082,121.5530771,brown
文德,17,25.07857444,121.5849642,brown
木柵,1,24.99821357,121.5731107,brown
北投,43,25.13181418,121.4986118,red
北門,63,25.04931759,121.5102689,green
古亭,60,25.02655995,121.5228041,green-orange
台大醫院,30,25.04127738,121.5166329,red
台北101/世貿,25,25.03304485,121.562737,red
台北小巨蛋,65,25.05165654,121.5518704,green
台北車站,31,25.04626515,121.5174869,blue-red
台北橋,76,25.06316922,121.5004049,orange
台電大樓,59,25.02023554,121.5290659,green
市政府,103,25.04121025,121.5666137,blue
民權西路,34,25.06285704,121.5197432,orange-red
永安市場,70,25.00236536,121.5111276,orange
永春,104,25.04084827,121.5760152,blue
永寧,91,24.96701641,121.4364389,blue
石牌,40,25.11441043,121.5156169,red
先嗇宮,79,25.04620178,121.4714844,orange
江子翠,98,25.0298854,121.4723153,blue
竹圍,48,25.13693041,121.4595474,red
行天宮,73,25.05972261,121.5331436,orange
西門,62,25.04217843,121.5082839,blue-green
西湖,15,25.08217684,121.5672491,brown
辛亥,4,25.00547848,121.5570711,brown
亞東醫院,94,24.99851484,121.4525593,blue
奇岩,42,25.12554253,121.5011461,red
府中,95,25.00855011,121.4594027,blue
忠孝復興,9,25.04158335,121.5437865,blue-brown
忠孝敦化,101,25.04136277,121.5505161,blue
忠孝新生,72,25.04233023,121.5329242,blue-orange
忠義,46,25.1310203,121.4731367,red
昆陽,106,25.0505163,121.5932176,blue
明德,39,25.10983347,121.5187407,red
東門,28,25.03390535,121.5288105,red-orange
東湖,21,25.06718515,121.6116132,brown
松山,67,25.04982358,121.5775132,green
松山機場,12,25.06339276,121.5515827,brown
松江南京,64,25.05166671,121.5329902,green-orange
芝山,38,25.10295226,121.5225206,red
信義安和,26,25.03327773,121.5529173,red
南京三民,66,25.05140631,121.5638938,green
南京復興,10,25.05251604,121.5437987,green-brown
南港,107,25.05209788,121.6070947,blue
南港展覽館,23,25.05488604,121.6168568,blue-brown
南港軟體園區,22,25.0600954,121.6159873,brown
南勢角,68,24.99007896,121.5090722,orange
後山埤,105,25.04503662,121.5825214,blue
科技大樓,7,25.02607778,121.5435057,brown
紅樹林,49,25.15472011,121.4587586,red
徐匯中學,87,25.08048491,121.4799464,orange
海山,93,24.98541751,121.4488104,blue
迴龍,84,25.02190731,121.4116214,orange
動物園,0,24.99828134,121.5794592,brown
唭哩岸,41,25.12083193,121.5061658,red
國父紀念館,102,25.04136926,121.5574862,blue
淡水,50,25.16770062,121.4456581,red
頂埔,90,24.95941679,121.4197216,blue
頂溪,71,25.01381887,121.5154585,orange
善導寺,100,25.04486818,121.52338,blue
復興崗,45,25.13764098,121.4853023,red
景安,69,24.99380377,121.5047615,orange-yellow
景美,56,24.99282977,121.540828,green
港墘,16,25.08006104,121.5751932,brown
菜寮,77,25.05980253,121.4915151,orange
象山,24,25.03278865,121.5701026,red
圓山,35,25.07136021,121.5200847,red
新北投,44,25.13697029,121.5022328,red
新店,51,24.95783959,121.5375069,green
新店區公所,52,24.96783959,121.5415319,green
新埔,97,25.02297375,121.4685627,blue
新莊,81,25.03612797,121.4525487,orange
萬芳社區,2,24.99856598,121.5680782,brown
萬芳醫院,3,24.9994199,121.5580955,brown
萬隆,57,25.0016988,121.5391099,green
葫洲,20,25.07269727,121.6071728,brown
輔大,82,25.03289766,121.4353266,orange
劍南路,14,25.08484,121.5556604,brown
劍潭,36,25.08428503,121.5249648,red
頭前庄,80,25.03983017,121.4604106,orange-yellow
龍山寺,99,25.03512328,121.4998332,blue
雙連,33,25.05780143,121.5206709,red
關渡,47,25.12568491,121.4670938,red
蘆洲,89,25.09175301,121.4645518,orange
麟光,5,25.01854894,121.5588148,brown
十四張,108,24.98430026,121.5276071,yellow
秀朗橋,109,24.99033027,121.5250574,yellow
景平,110,24.99201307,121.516325,yellow
中和,111,25.00237592,121.4959865,yellow
橋和,112,25.00461069,121.4904805,yellow
中原,113,25.00833899,121.4841129,yellow
板新,114,25.01439849,121.4721856,yellow
新埔民生,116,25.02625253,121.4668522,yellow
Y板橋,115,25.01532983,121.4646314,yellow
幸福,117,25.04997526,121.4599852,yellow
新北產業園區,118,25.0613333,121.4597213,yellow
